Simulation Time(s),Actual Time(in 24hr),Section ID,Flow (veh/hr)
0.00,0:00,45208,73334784.00
0.00,0:00,45209,73334784.00
0.00,0:00,45212,73334784.00
0.00,0:00,45229,73334784.00
0.00,0:00,45230,73334784.00
0.00,0:00,45238,73334784.00
0.00,0:00,45241,73334784.00
0.00,0:00,45245,73334784.00
0.00,0:00,45246,73334784.00
0.00,0:00,45260,73334784.00
0.00,0:00,45261,73334784.00
0.00,0:00,45262,73334784.00
0.00,0:00,45263,73334784.00
0.00,0:00,45264,73334784.00
0.00,0:00,45267,73334784.00
0.00,0:00,45283,73334784.00
0.00,0:00,45284,73334784.00
0.00,0:00,45285,73334784.00
0.00,0:00,45288,73334784.00
0.00,0:00,45298,73334784.00
0.00,0:00,45299,73334784.00
0.00,0:00,45300,73334784.00
0.00,0:00,45303,73334784.00
0.00,0:00,45313,73334784.00
0.00,0:00,45331,73334784.00
0.00,0:00,45337,73334784.00
0.00,0:00,45349,73334784.00
0.00,0:00,45352,73334784.00
0.00,0:00,45353,73334784.00
0.00,0:00,45354,73334784.00
0.00,0:00,45361,73334784.00
0.00,0:00,45362,73334784.00
0.00,0:00,45363,73334784.00
0.00,0:00,45366,73334784.00
0.00,0:00,45376,73334784.00
0.00,0:00,45378,73334784.00
0.00,0:00,45379,73334784.00
0.00,0:00,45380,73334784.00
0.00,0:00,45383,73334784.00
0.00,0:00,45393,73334784.00
0.00,0:00,45396,73334784.00
0.00,0:00,45406,73334784.00
0.00,0:00,45409,73334784.00
0.00,0:00,45412,73334784.00
0.00,0:00,45415,73334784.00
0.00,0:00,45431,73334784.00
0.00,0:00,45432,73334784.00
0.00,0:00,45439,73334784.00
0.00,0:00,45447,73334784.00
0.00,0:00,45450,73334784.00
0.00,0:00,45451,73334784.00
0.00,0:00,45456,73334784.00
0.00,0:00,45457,73334784.00
0.00,0:00,45458,73334784.00
0.00,0:00,45461,73334784.00
0.00,0:00,45471,73334784.00
0.00,0:00,45472,73334784.00
0.00,0:00,45473,73334784.00
0.00,0:00,45476,73334784.00
0.00,0:00,45487,73334784.00
0.00,0:00,45488,73334784.00
0.00,0:00,45491,73334784.00
0.00,0:00,45501,73334784.00
0.00,0:00,45504,73334784.00
0.00,0:00,45510,73334784.00
0.00,0:00,45511,73334784.00
0.00,0:00,45519,73334784.00
0.00,0:00,45520,73334784.00
0.00,0:00,45521,73334784.00
0.00,0:00,45524,73334784.00
0.00,0:00,45534,73334784.00
0.00,0:00,45536,73334784.00
0.00,0:00,45539,73334784.00
0.00,0:00,45549,73334784.00
0.00,0:00,45550,73334784.00
0.00,0:00,45551,73334784.00
0.00,0:00,45554,73334784.00
0.00,0:00,45564,73334784.00
0.00,0:00,45565,73334784.00
0.00,0:00,45566,73334784.00
0.00,0:00,45569,73334784.00
0.00,0:00,45579,73334784.00
0.00,0:00,45581,73334784.00
0.00,0:00,45582,73334784.00
0.00,0:00,45583,73334784.00
0.00,0:00,45584,73334784.00
0.00,0:00,45598,73334784.00
0.00,0:00,45599,73334784.00
0.00,0:00,45600,73334784.00
0.00,0:00,45601,73334784.00
0.00,0:00,45609,73334784.00
0.00,0:00,45618,73334784.00
0.00,0:00,45621,73334784.00
0.00,0:00,45624,73334784.00
0.00,0:00,45625,73334784.00
0.00,0:00,45633,73334784.00
0.00,0:00,45646,73334784.00
0.00,0:00,45647,73334784.00
0.00,0:00,45648,73334784.00
0.00,0:00,45651,73334784.00
0.00,0:00,45663,73334784.00
0.00,0:00,45664,73334784.00
0.00,0:00,45665,73334784.00
0.00,0:00,45668,73334784.00
0.00,0:00,45678,73334784.00
0.00,0:00,45681,73334784.00
0.00,0:00,45684,73334784.00
0.00,0:00,45685,73334784.00
0.00,0:00,45693,73334784.00
0.00,0:00,45697,73334784.00
0.00,0:00,45700,73334784.00
0.00,0:00,45703,73334784.00
0.00,0:00,45705,73334784.00
0.00,0:00,45706,73334784.00
0.00,0:00,45707,73334784.00
0.00,0:00,45721,73334784.00
0.00,0:00,45722,73334784.00
0.00,0:00,45723,73334784.00
0.00,0:00,45726,73334784.00
0.00,0:00,45736,73334784.00
0.00,0:00,45737,73334784.00
0.00,0:00,45738,73334784.00
0.00,0:00,45745,73334784.00
0.00,0:00,45746,73334784.00
0.00,0:00,45747,73334784.00
0.00,0:00,45750,73334784.00
0.00,0:00,45753,73334784.00
0.00,0:00,45758,73334784.00
0.00,0:00,45770,73334784.00
0.00,0:00,45771,73334784.00
0.00,0:00,45772,73334784.00
0.00,0:00,45775,73334784.00
0.00,0:00,45785,73334784.00
0.00,0:00,45786,73334784.00
0.00,0:00,45787,73334784.00
0.00,0:00,45790,73334784.00
0.00,0:00,45800,73334784.00
0.00,0:00,45803,73334784.00
0.00,0:00,45809,73334784.00
0.00,0:00,45815,73334784.00
0.00,0:00,45818,73334784.00
